总数 18103
4094 懒鸟不搭窝——得过且过
4095 抱鸡婆打摆子——窝里战
4096 竹节子命——吃一节算一节
4097 黄豆芽上天——带尾巴的能豆子
4098 雪里滚球——越滚越大
4099 下雨出星星——看似无晴却有晴
4100 狗屎做鞭——闻也闻不得，舞也舞不得
4101 属牛皮纸糊的鼓面子——经不住敲打
4102 姜子牙的坐骑——四不像
4103 望乡台上打莲花落——不觉孽的鬼
4104 卢沟桥上的狮子——数不清
4105 耗子钻风箱——两头受气
4106 蜂蜜拌黄连——又苦又甜
4107 挨了霜的狗尾巴草——蔫了
4108 半斤对八两——不相上下
4109 娶媳妇坐抬筐——缺轿
4110 鼓着肚子充胖子——外强中干
4111 池塘里的蛤蟆——叫起来没个完
4112 骏马跑千里，银燕入云霄——远走高飞
4113 蜡做的水果——好看不好吃
4114 房檐上的草——刮来的野种
4115 头顶上害疮，脚跟上流脓——没治
4116 奸狼下了个贼狐狸——不是好种
4117 铁打的棒槌——硬邦邦
4118 从斜门缝看人——怎么看怎么歪
4119 二月间的桃子——不熟
4120 大海里放鱼——各奔一方
4121 老鼠见了猫——动都不敢动
4122 鞋帮子做帽檐——高升
4123 田里的秧鸡儿——顾头不顾尾
4124 毛竹扁担挑泰山——担当不起
4125 坐在黄连树下弹琴——苦中作乐
4126 鸡毛遭风吹——身不由己
4127 木头棍——不通气
4128 膝盖上钉铁掌——离题太远
4129 漏了气的皮球——蹦跳不起来
4130 何仙姑走娘家——来去无踪
4131 王八中解元——规矩
4132 菩萨头上冒烟——神气
4133 背着水讨饭——装穷
4134 十字路口分手——各奔前程
4135 眉毛胡顺一把——不分青红皂白
4136 唐三藏过火焰山——没咒念了
4137 冻豆腐——难办
4138 冬天喝凉水——点点记在心
4139 提空笼上坟——哄天哩
4140 圣人喝盐卤——明白人办糊涂事
4141 擀面杖吹火——不通气儿
4142 拿上墓冢比泰山——高低大小不一般
4143 千里送鹅毛——礼轻情意重
4144 卒子过河——只进不退
4145 电线杆子绑鸡毛——好大的胆子
4146 罐里养王八——成心憋人
4147 拿碌磷打月亮——不知轻重
4148 三合板上雕花——刻薄
4149 杀了的小鸡打扑棱——最后一点劲
4150 火爆玉米——开心
4151 下巴颌子埋土里——想长脸
4152 砧板上的蚂蚁——刀下找食
4153 小耗子骂大街——贼喊捉贼
4154 肚脐眼里生疮——坏透了
4155 嫩苗苗——根底浅
4156 园里的橡胶树——任人千刀万剐
4157 干姜——断不了辣气
4158 老君爷叫蛇咬——法尽了
4159 大年初一借袍子——不识时务
4160 背着口袋下牛栏——装犊子
4161 竹杆捅水沟——捅进一节说一节
4162 冬天的大葱——叶黄根枯心不死
4163 霸王举鼎——力大无穷
4164 湖里看天——把它翻在底下
4165 老虎不在家——吹个暴
4166 向河里泼水——随大流
4167 老虎吃天——没处下嘴
4168 麻雀上梁柁——官儿不大，架不小
4169 山上滚石头——硬碰硬
4170 呆子看戏——光图热闹
4171 小虾皮跳浪——阻挡不住潮流
4172 灶君爷上天——多言好事
4173 灶里扒出个烧馍馍——又吹又拍
4174 山里的五步蛇——毒极了
4175 癞蛤蟆洗脸——原来啥样还啥样
4176 脚踩棒槌——立场不稳
4177 豁牙咬牛筋——难嚼难咽
4178 老婆当军——充数儿
4179 五尺深的浑水潭——看不透
4180 虎皮当衣穿——吓唬人
4181 半天云中的铜锣——落到哪里都当当响
4182 鸡儿不撒尿——各自有去处
4183 宜兴的夜壶——独出一张嘴
4184 被窝里放屁——自己臭自己
4185 童养媳挨打——又一顿
4186 猫舔虎鼻梁——找死
4187 狗戴砂锅——乱撞一起
4188 带刺的鲜花——好看有点扎手
4189 搭人梯过城墙——踩着别人的肩膀往上爬
4190 打枪不瞄准——无的放矢
4191 大虫头，老鼠尾——有始无终
4192 发出去的信——收不回了
4193 下雨不打伞——硬浇着不错
4194 端午节拜年——不是时候
4195 黑老鸹嫁凤凰——不配
4196 瓷公鸡——一毛不拔
4197 灯草打鼓——不响
4198 老牛掉眼泪——有口难言
4199 吐口唾沫砸个坑——出口有分量
4200 寡妇赶集——没人也没钱
4201 小媳妇进婆家——忍气吞声
4202 十字路口迷了道——分不清东西
4203 到火神庙求雨——找错了门
4204 汽车撞轮船——难得一回
4205 猴洗孩子——不等毛干
4206 钱串子捆腰——勒肉
4207 黑头演花旦——变了角色
4208 帽子上面戴斗笠——官上加官
4209 五台山上的蘑菇——值贵
4210 毡匠擀毡——厚此薄彼
4211 小孩摆积木——不成重来
4212 黄连树下弹琵琶——苦中作乐
4213 井里打水往河里倒——瞎折腾
4214 水牛打架——勾心斗角
4215 哑姑姑做梦——谁醒谁知
4216 三更半夜出世——害死人
4217 沙滩上起高楼——底子有问题
4218 屠宰场的猪——任人宰割
4219 屎壳郎吹喇叭——满嘴放臭气
4220 猴屁股扎蒺藜——坐立不安
4221 纸糊的拳头——轻而易举
4222 小车儿不拉——忒行
4223 烂桔子——没瓣儿
4224 属泥鳅的——滑得很
4225 屎壳郎飞到烟袋锅上——要拱火
4226 十二月送蒲扇——不识时务
4227 鸭子浮水——面上不动暗里在动
4228 叶公好龙——口是心非
4229 菜瓜打驴——去一半
4230 屎壳郎爬竹竿——过不去节
4231 歪嘴巴吹得一口好唢呐——气歪响声正
4232 驴头不叫驴头——长脸
4233 妈蚁挡路——垫不翻车
4234 蚂蚁扛大树——不自量
4235 耗子窟窿——没话找话
4236 寒冬腊月摆龙门阵——冷言冷语
4237 饭桌上的盘子——没把柄
4238 恶水罐子——得罪人
4239 孔夫子搬家——全是书
4240 猪头挂在花椒树上——肉麻
4241 黄牛掉进枯井里——有劲儿使不上
4242 坟墓变庙宇——神出鬼没
4243 牛吃稻草鸭吃谷——各人自有各人福
4244 盐罐儿里装个鳖——咸圆一枚
4245 炮筒里装针——细心
4246 葫芦秧套南瓜秧——拉扯不清
4247 属猪的——记吃不记打
4248 清水煮白菜——一清二白
4249 没牙的伙计——无齿之徒
4250 瞎眼的鸟雀饿不死，没毛的蛤蟆冻不死——啥有啥的本事
4251 过河卒子——当车使
4252 做小本生意——斤斤计较
4253 单身汉过日子——独揽一切
4254 捡来的媳妇——不美满
4255 蝎子放屁——毒气冲天
4256 野猫借柳罐——不出脸
4257 小孩抬大轿——担当不起
4258 早开的红梅——一枝独秀
4259 半天下雨——不知来头
4260 大腿上把脉——瞎搞
4261 姜太公算卦——好准啊
4262 电灯泡上擦痒痒——磨灯
4263 蚱蜢碰上鸡——在劫难逃
4264 猫儿喝烧酒——够呛
4265 酒杯量米——身子有病
4266 牛角安在驴头上——四不像
4267 蚂蚱打喷嚏——好大的口气
4268 歪嘴骡卖了驴价钱——吃了嘴上亏
4269 荷叶上放秤砣——承受不了
4270 走路包饺子——拿捏起来
4271 搅拌机里的石子——翻上倒下
4272 丈八罗汉——摸不着头脑
4273 撒了气的皮球——软瘫了
4274 铁拐李葫芦里的药——医不好自己的病
4275 秀才遇到老虎——再吟诗也跑不脱
4276 闭着眼睛砍木头——胡劈
4277 老哥哥拍胸脯——兄弟放心
4278 枪打出头鸟——杀一儆百
4279 狗挑门帘——露一鼻子
4280 开水锅里煮空笼——不争饱子争口气
4281 湿草打火把——一亮即灭
4282 魔术师变戏法——无中生有
4283 萧何追韩信——连夜赶
4284 拿了煤球砍脑袋——可倒了血霉
4285 釜底抽薪——奄奄一息
4286 鸡爪上钉掌子——不对题
4287 青菜煮萝卜——一清二白
4288 玉皇和土地——天上一个，地下一个
4289 砧板上的肉——随人砍，随人剁
4290 猴拿虱子——瞎掰
4291 无根浮萍——没准儿
4292 旧皇历——翻不得
4293 王八碰到桥桩上——干生闷气
4294 扭秧歌的打腰鼓——旁敲侧击
4295 山羊见了老虎皮——望而生畏
4296 宰相的千金——不愁嫁不出去
4297 喝海水说大话——没边没沿
4298 雪人烤火——不知自己是啥做的
4299 梁山兄弟——越打越亲
4300 坛子里种豆子——扎不下根
4301 干泥巴做汤圆——搓不圆
4302 百年的瓜子千年的树——根深蒂固
4303 小孩有病——不会藏着
4304 担雪填井——没有个满的日子
4305 登梯子上树——攀高枝儿
4306 西瓜地里放野猪——一塌糊涂
4307 西面敲鼓东面响——声东击西
4308 厕所里的茅缸——装死
4309 馒头吃到豆沙边——尝到了甜头
4310 埋下的地雷——一触即发
4311 红蓝铅笔——两头挨削
4312 风箱板改锅盖——受了冷气受热气
4313 黄貔子给小鸡儿拜年——假仁假义
4314 没牙老娘吃豆腐——正是可口的菜
4315 光头上的虱子——明摆着
4316 挑水的扁担——长不了
4317 沙和尚挑行李——义不容辞
4318 瞎子抓婆娘——死不丢
4319 耗子爬到树梢上——自高自大
4320 叫化子碰上个要饭的——穷对穷
4321 一只筷子吃藕——专挑眼
4322 两个人打排球——推来推去
4323 一把盐撒进油锅——炸开了
4324 修房子不请掌墨师——没规没矩
4325 猫儿偷食狗挨打——无辜受累
4326 雨后的竹笋——节节高
4327 四两面发一缸——虚气不小
4328 正月初七生的——属人
4329 纸糊栏杆——靠不住
4330 黑屋里做活路——瞎干
4331 蚂蚁讲话——碰头
4332 斜头儿打架——硬上
4333 瞎子相亲——对不上眼
4334 一斤肉包个饺子——好大的面皮
4335 寿星的脑袋——宝贝疙疸
4336 小鸡吃黄豆——找死
4337 井底之蛙——见不得天
4338 盲人给盲人带路——瞎扯
4339 猪八戒进屠场——自己贡献自己
4340 庙台子上长草——荒了神
4341 钻进风箱的老鼠——两头受气
4342 猪八戒招亲——黑灯瞎火
4343 豆腐做挡箭牌——不堪一击
4344 鱼篮子打水——无处不是漏洞
4345 尼姑只剃半边头——不诚心
4346 照明弹上天——高明
4347 两手托刺猬——刺手
4348 没锯开的葫芦——道不出来
4349 狗嚼大粪——一张臭嘴
4350 泥神笑土菩萨——彼此彼此
4351 鞭炮扔进了雀儿窝——炸飞起来
4352 黄连甘草挑一担——一头苦来一头甜
4353 秤砣落到鸡窝里——蛋打鸡飞
4354 案板上的蛤蟆——任剁
4355 没王的蜜蜂——乱哄哄
4356 阎王下命令——鬼执行
4357 雄鸡害嗓子——不好提
4358 鸡蛋掉在油锅里——滑透了
4359 飞机上扭秧歌——载歌载舞
4360 黄毛鸭子初下水——不知路途远
4361 长翅膀的小鸟——欢跃欲飞
4362 穿背心作揖——光想露两手
4363 参谋皱眉头——一筹莫展
4364 一对铃铛儿——见了叮当，不见了空慌
4365 吃了算盘子——心里有数
4366 肚脐眼里藏书——满腹经文
4367 敲锣不管打鼓——各干各的
4368 身子掉进冰窖里——一凉半截
4369 晴天下雨——没指望
4370 没眼儿猪跟着狗叫唤——瞎起哄
4371 捏着鼻子吃酸醋——不咽也得咽
4372 脚踩西瓜皮，手抓两把泥——一溜二抹
4373 好汉不吃眼前亏——识时务
4374 吃一百个黄豆——不知腥
4375 隔墙丢簸箕——不知仰着还是扣着
4376 显道神掉在冰窖里——凉了半截
4377 鼻子里插大葱——装相
4378 木工吊线——睁一只眼，闭一只眼
4379 肚子里打灯笼——肝胆相照
4380 蜡烛的脾气——不点不明
4381 理发师说话——全是头头
4382 箅子上取窝头——十拿九稳
4383 蚂蚁戴眼镜——好大的脸皮
4384 芦沟桥上石狮子——数不清
4385 蚂蚁过垅沟——觉着是一江
4386 两足忙忙走——只为身和口
4387 野鸡毛儿——零捋
4388 裁缝做龙袍——格外小心
4389 关上门唱戏——自家听
4390 屋里放风筝——高也有限
4391 蚊子打呵欠——好大的口气
4392 伸脖子套绞索——送死
4393 草帽当锣——响不起来
4394 铁铸的算盘——拨拉不开
4395 窗户眼儿吹喇叭——名声在外
4396 眼毛短——分不出高低
4397 沟边大树——见识多
4398 和尚看嫁妆——来世见
4399 水仙花不开——装蒜
4400 牛王爷不管驴的事——各管各的
4401 纸糊的喇叭——吹不得
4402 枣核解板儿——没有几锯
4403 碾杆心断了半截——作不了主
4404 闲人生闲气——无事生非
4405 大粪坑里一条蛇——又毒又臭
4406 小猫喝烧酒——够呛
4407 老厨师熬粥——难不住
4408 铁匠女儿嫁石匠——硬对硬
4409 画上的老虎——吃不了人
4410 理字卖给阎王爷——不讲理了
4411 罐里捉鳖——没跑
4412 跛脚马上阵——没有好下场
4413 大树底下晒太阳——阴阳不分
4414 渔网当伞——遮不住阳光
4415 脚板抹油——溜之大吉
4416 河里洗铁盒——面面俱到
4417 秋天卖凉粉——不识时务
4418 隔门缝瞧不见吕洞宾——小看仙人
4419 拉着牛尾巴上房——没有那一谦
4420 马后炮——没用
4421 铁饭碗——打不破
4422 井底结蜘蛛网——值得深思
4423 怀胎十个月——升了
4424 裤裆里插扁担——自担自
4425 同床异梦——各有一心
4426 一对山羊抵架——头碰头
4427 老道改和尚——全剃
4428 赖鹰扣在鳖腿上——飞也飞不动，爬也爬不动
4429 竹筒沉水——自满自足
4430 风前残烛——难长久
4431 弯刀剁瓢背——对路子
4432 火烧脏眼——倒不过手来
4433 石板上斩狗肠——一刀两断
4434 竹篮装土地菩萨——提神
4435 黑老鸪下了个白蛋——给自己长了脸
4436 马鳖叮上鹭鸶腿——咬上不撒嘴
4437 新袄打补丁——多此一举
4438 鸡毛点灯——十有九空
4439 狗皮上贴膏药——不沾
4440 苍蝇围着厕所转——臭味相投
4441 毛驴备上银鞍韂——有点不配
4442 老牛拉破车——慢慢吞吞
4443 跛脚青蛙碰着瞎眼鸡——难兄碰到难弟
4444 花和尚穿针鼻——大眼瞪小眼
4445 苦菜连着黄连长——苦根连在一起
4446 蜗牛撞大树——短眼睛
4447 十丈高的灯台——照远不照近
4448 和尚化缘——多多益善
4449 阴曹地府打官司——一溜鬼说鬼话
4450 瘦死的骆驼——比马大
4451 猪八戒搽粉——遮不了丑
4452 装了棺材抓回药——没治
4453 披着张人皮，揣副驴肝肺——没好下水
4454 老榆木疙瘩——挪不动
4455 鹦鹉学舌——说人话不办人事
4456 秀才门前竖杆子——岂敢
4457 喇嘛的帽子——黄了
4458 大火疥子不出头——干闷
4459 虎落平阳——被犬欺
4460 热锅里的螃蟹——爪子紧挠
4461 马嚼子戴在牛嘴上——胡勒
4462 浑水摸鱼——都想捞一把
4463 蝴蝶绕着马蹄飞——问题
4464 唱戏的教徒弟——幕后指点
4465 抱着醋坛子走路——酸溜溜的
4466 站在云头上吊嗓子——唱高调
4467 矮子过河——安了心
4468 驾驶员罢工——想不开
4469 三尺长的梯子——搭不上言
4470 蝌蚪害头痛——浑身都是病
4471 两个指头夹香烟——稳稳当当
4472 炸响了的炮仗——四分五裂
4473 夜莺配鹦鹉——正合适
4474 沙漠里播种——一无所获
4475 菠菜煮豆腐——一清二臼
4476 八个钱的馄饨——没见面
4477 小车子不拉——忒好了
4478 猴子屁股——坐不住
4479 四大金刚弹琵琶——不谈也得谈
4480 鞋上绣金凤——会走不会飞
4481 寒天喝冰水——滴滴凉心头
4482 坐轿闷得慌——骑马嫌摇晃
4483 筷子夹豌豆——不可多得
4484 耗子皮做衣领——不消
4485 鸭子的脚板——连成一片
4486 皮匠不带锥子——真好
4487 无根的水草——漂浮不定
4488 张驴儿上公堂——恶人先告状
4489 蒺藜拌草——不是好料
4490 蚂蚁顶石臼——吃力不讨好
4491 见了火的蜡——软了
4492 瞎驴转磨——总是按自己的辙走
4493 瘸子和尚说法——能说不能行
4494 粪堆上开花儿——臭美
4495 枕头底下的风——听也得听，不听也得听
4496 三钱米下锅里——不愁
4497 六月的天——眨眼就阴沉下来
4498 羊屎不搓——个个团
4499 生姜脱不了辣气——本性难移
4500 猴子耍把戏——老一套
4501 八月里的黄瓜棚——空架子
4502 竹林的笋子——嘴尖毛长
4503 老母鸡下崽儿——新鲜事儿
4504 醋坛子里泡胡椒——尝尽辛酸
4505 陷阱里逮狍子——手拿把掐
4506 下雨不戴帽——时髦
4507 倒驴不倒架儿——穷有穷的讲究
4508 铁匠铺的买卖——件件都是硬货
4509 乌龟碰石板——硬碰硬
4510 杀人不眨眼睛——凶残
4511 老巫婆戴花——招人看
4512 茄子不开空花——男儿不说空话
4513 马尾做弦——不值一谈
4514 吃着生姜喝着醋——从酸辣中过来的
4515 套上大车卖煎饼——贪多啦
4516 偷吃的猫儿——记吃不记打
4517 他念他的经，我拜我的佛——互不干扰
4518 媒人婆拾马粪——越发越筛
4519 杀人不用刀枪——软收拾
4520 沤烂的花生——没有好人
4521 腰里挂算盘——光为自己打算
4522 黄连树上搭苦瓜棚——苦做一堆
4523 半夜吃黄连——暗中叫苦
4524 天狗吃太阳——有今儿个，没明儿个
4525 钟馗怕鬼——没有这样的事
4526 关帝庙里挂观音像——名不符实
4527 白脖子屎壳郎——与众不同
4528 吃饭馆住旅店——啥事不管
4529 狗给老虎搔痒痒——好心没好报
4530 筷子穿针眼——过不去
4531 十冬腊月的大萝卜——哪能不冻心
4532 土地爷坐软椅——养神
4533 笨媳妇纳的袜底儿——坑坑洼洼
4534 卖糖的讲甜，卖盐的喊咸——谁做的谁说重要
4535 秦叔宝的黄骡马——来头不小
4536 茅坑边摊铺——离屎不远了
4537 茉莉花喂骆驼——无济于事
4538 一碗酸菜一碗醋——你不仁，我也不义
4539 脱了裤子放屁——费两道手
4540 旗杆上挂红灯——照远不照近
4541 赶着大车进了河——没瞥
4542 蝎子掉进磨眼里——折磨
4543 灯草打人——软弱无力
4544 赵公明的儿子——认钱不认人
4545 屡战屡败——负数
4546 屎壳螂掏粪——难不住
4547 快刀切豆腐——点到就开
4548 王八肚子上插鸡毛——龟心似箭
4549 黄牛吃草——吞吞吐吐
4550 猪八戒打蚂蚱——笨手笨脚
4551 一脚踢不出个屁来——窝囊废
4552 碰到南墙不回头——死心眼
4553 吃冰块儿拉冰块儿——没话
4554 徐庶进曹营——不出一个好点子
4555 王八吃年糕——铁了心
4556 出土的竹笋——捂不住
4557 老和尚不撞钟——得不的一声
4558 石头掉在棉花堆上——没一点儿声响
4559 吃了蒙汗药——任人摆布
4560 属电筒的——光照人家，不照自己
4561 旗杆头上插鸡毛——好大的掸子
4562 围棋盘里下象棋——不对路数
4563 怀里揣老玉米——不肯
4564 盖严了的蒸笼——有气难出
4565 孔夫子的家当——尽是书
4566 剥皮的猪头——太露骨
4567 绡鞋不使锥子——真好
4568 老鼠窟里倒拔蛇——想退也退不出
4569 黄鼠狼做买卖——投机取巧
4570 一杆没星的秤——不知轻重
4571 二齿钩子绘画——你算哪一道
4572 无祀鬼神坛——凭你自来自去
4573 砍倒大树捉鸟——呆子
4574 滚油锅里炸油条——翻来覆去
4575 死人抬棺材——不晓得转弯
4576 张飞制白袍——不死不肯息
4577 天井院里的瞎子——处处碰壁
4578 瞎子害眼——也就是这回事啦
4579 砍树吃橘子——不顾根本
4580 结清了的账单——一笔勾销
4581 北方缺竹子——哪来这么多的损
4582 下雪天吃冰糕——图的这个凉快劲儿
4583 庙里丢菩萨——失神
4584 花岗岩的脑袋——至死不悔改
4585 飞机上挂眼镜——眼光太高
4586 老旦戴花——花头不起
4587 没牙的伙计——无耻之徒
4588 瞎子过河——蹬住底儿试探
4589 卖凉粉的没醋——吃凉不管酸
4590 油多捻子粗——灭不了
4591 乡下人不识骆驼——当作马肿背
4592 婊子立牌坊——假正经
4593 盐缸里找蛆——操咸心
4594 蒜地里栽辣椒——一茬比一茬辣
4595 黄鳝过河滩——不死也要落一身残
4596 武大郎开店——个子比他高的别进来
4597 瓜子儿里嗑出个臭虫来——算个什么人儿
4598 脚盆和面——不知香臭
4599 一根藤上结的瓜——苦在一起，甜在一堆
4600 山顶上的蘑菇——根子硬
4601 醉雷公上锅台——胡嬖一锅粥
4602 搀水的老白干——没冲劲儿
4603 班门弄斧——假充内行
4604 鸭背上泼水——滑过去了
4605 隔河走路——清清楚楚
4606 八百年的枫树苑——顽固不化
4607 大轮船出港——外行
4608 虫子打架——没声响
4609 虾子过河——谦虚
4610 口袋装西瓜——直出直入
4611 孙悟空大闹天宫——啥也不怕了
4612 空筒木头——没有心
4613 沙窝里想撑船——好事想绝了
4614 上了山顶想飞天——贪得无厌
4615 拆东墙补西墙——凑合着过
4616 狗爬到猪槽里——吃混食
4617 生虫的核桃——不是好人
4618 千锤击鼓——一锤定音
4619 夜叫鬼门关——自己送命
4620 怀里揣琵琶——往心里谈
4621 房檐上玩儿把戏——活闹悬
4622 豆腐渣包饺子——捏不到一起
4623 山沟里的毛驴——走不惯平川地
4624 一滴水滴进油瓶里——无巧不成事
4625 千里扛猪草——还不是喂的它
4626 小孩儿打哇哇——说了不算
4627 掀起肚皮——自暴其短
4628 庙门口的旗杆——光棍一条
4629 拾粪筐里筛白面——一光二净
4630 戴着乌纱弹棉花——有弓之臣
4631 粮食装在布袋里——一个挨着一个
4632 老太婆缝补丁——认起真来
4633 马背上跌跤，牛背上抽鞭——错上加错
4634 当风划火柴——有着有不着
4635 拿灯草搓绳——白费心机
4636 耳挖勺炒芝麻——小鼓捣油
4637 属铁公鸡的——一毛不拔
4638 屁股上扎刀——离心远
4639 夜明珠埋在地里——有宝不显
4640 盘子里扎猛子——不知深浅
4641 老牛打滚——大翻身
4642 快嘴婆婆——有口无心
4643 悬崖上扭秧歌——高兴到头了
4644 断线的喇叭——不声不响
4645 狗扯羊肠——越扯越没边
4646 佛爷放屁——神气十足
4647 白脸狼戴草帽——假充善人
4648 石头脑瓜子——不开窍
4649 吃炒面哼小曲——含含糊糊
4650 一窝老鼠——谁也不用嫌谁灰
4651 小鬼遇着张天师——落网了
4652 米筛眼里的米——上不来，下不去
4653 暖水瓶里装开水——外冷里热
4654 羊陪虎睡觉——靠不住
4655 狐狸精打呵欠——妖里妖气
4656 剖鱼得珠——格外珍贵
4657 逆水行船——硬撑
4658 有理三扁担，无理扁担三——不分青红皂白
4659 阎王跌进油锅里——活见鬼
4660 房上的草——刮来的种儿
4661 水牛见了骆驼——矮了半截子
4662 阎王开门——净出鬼
4663 朝天放枪——空响
4664 鸡局尿——少见
4665 床底下堆宝塔——纵高也有限
4666 城墙上跑马——难掉头
4667 母猪掉进泔水缸——饱餐一顿
4668 痴鸟等湖干——痴心妄想
4669 夹瓤子胡桃——非砸着吃不可
4670 腊月的天气——动手动脚
4671 提条泥鳅设宴席——小题大做
4672 吹鼓手上大堂——不敢吹了
4673 屎壳郎掉在白面里——显出黑白
4674 冰山上作画——好景长不了
4675 棒子面抻面条——要的就是这个劲儿
4676 秫秸秆当门闩——经不住推敲
4677 二愣子报丧——慌里慌张
4678 老鼠尾巴生疮儿——有脓也不多
4679 耗子偷秤砣——力不从心
4680 许不下羊羔许骆驼——巧言哄人
4681 府官进县衙——大摇大摆
4682 西瓜地里散步——左右逢圆
4683 半天云里写文章——空话连
4684 诸葛亮空城楼上弹琴——乐若平常
4685 铁黑豆——炒死也不爆
4686 十只老鼠围只猫——没一个敢上前
4687 马尾巴提豆腐——串不起来
4688 拔了萝卜窟窿在——有根有据
4689 三两银子放账——稀少
4690 长江里饮水——非同小渴
4691 老太太啃核桃——吃不开
4692 厨房里的蒸笼——经常受气
4693 剃头捉虱——一举两得
4694 头顶上长疮，脚底下流脓——坏透了
4695 袖口里装手电筒——只照别人，不照自己
4696 二两银子铸个土地爷——钱能通神
4697 白糖拌苦瓜——又甜又苦
4698 玻璃球上拴麻线——难缠
4699 宣统坐江山——只有三年
4700 歪着嘴说话——不凭良心
4701 鸟枪当炮用——尽力而为
4702 石鸡上南山——咯咕咯
4703 蛤蟆吃黄蜂——反倒挨一锥
4704 开了锅的粥——咕噜没个完
4705 半天云里想办法——主意高
4706 树林里放风筝——缠住了
4707 石头蛋腌咸菜——一言难尽
4708 秤砣掉在鸡窝里——捣蛋
4709 擂槌铲锅巴——死硬
4710 麻雀想和鹰打架——讲大话
4711 九霄云里炒青菜——不沾边
4712 老狗砍掉尾巴——装样
4713 圆凿方构——扞格不入
4714 耗子掉水缸——时髦
4715 火车道上推小车——步步有坎
4716 牙膏的脾气——不挤不出
4717 二黄转中板——变调了
4718 坐着火箭登天——直线上升
4719 理发铺关门了——懒得理
4720 端午节吃饺子——与众不同
4721 黄豆芽炒藕——勾住心
4722 吃了哑巴药——开不得口
4723 龙王爷过江——风大雨大
4724 哑子受人欺——敢怒不敢言
4725 木匠进山里——尽材料
4726 猛虎闯羊群——一团糟
4727 黄连树下一根草——苦苗苗
4728 爬树摘月亮——空淘神
4729 炒熟的豆子——蹦蹦跳跳
4730 热脸挨冷屁股——没面子
4731 一根线上拴俩蚂蚱——要飞一起飞，要蹦一起蹦
4732 啄木鸟掉进井里——毛软嘴硬
4733 害喘病爬高山——喘不上气
4734 鸭子转生的——肉煮烂，嘴也是硬的
4735 脱裤子放屁——多费一道手续
4736 芝麻里头加虱子——乱掺和
4737 二分钱开个杂货铺——有啥可卖的
4738 屎壳螂爬秤盘——不知道自己有多大分量
4739 癞蛤蟆打吹欠——好大的口气
4740 门槛角轧核桃——崩了
4741 往石灰窝里扔砖头——白气冲天
4742 八擒孟获——多此一举
4743 套上大车让老虎架辕——没人敢
4744 屋脊上放西瓜——两边滚
4745 四眼井打水——这个下去，那个起来
4746 油炸的麻花——老是扭在一起
4747 大年初一看历书——日子长哩
4748 脚面上长眼睛——自看自高
4749 脱了线的气球——无牵无挂
4750 狗屎作的鞭子——文也文不得，武也武不得
4751 蚂蚱上豆架——小东西借大架吓人
4752 蚊虫遭扇打——只为嘴伤人
4753 阎王敲门——内有鬼
4754 杀猪用铅笔刀——全凭诀窍
4755 走上步看下步——瞻前顾后
4756 弹花匠的女儿——会弹不会纺
4757 东施跟着西施走——学个样子
4758 快锯伐大树——拉倒
4759 鸡飞上天——不可能的事
4760 污水坑里竖旗杆——臭光棍
4761 说嘴大夫——没好药
4762 荷叶包钉子——个个想出头
4763 唢呐里吹出笛子调——想不到一块
4764 老鳖咬人——叼住不放
4765 隔墙掠肝肠——死心塌地
4766 王八遭棍打——缩头缩脑
4767 药王爷的嘴——吃尽了苦头
4768 黄鼠狼戴花——臭美
4769 三下子少了一下子——看你那两下子
4770 猴吃辣椒——抓耳挠腮
4771 宰猪的弄一身血——成红人了
4772 耳后的疙瘩——没人理会
4773 羊群过草坡——各顾各的嘴
4774 小和尚念经——照本哼哼
4775 飞机上挂暖壶——高水瓶
4776 蛤蟆拴在鳖腿上——跑走不开
4777 凤凰落到鸡窝里——有辱贵体
4778 学诸葛亮摆空城计——心里慌兮兮
4779 拙鼻骡子卖了个驴价钱——不值钱就在嘴上头
4780 机关枪打炮弹——不对口径
4781 白布进了染缸——漂不干净
4782 猪八戒进厨房——会吃不会干
4783 耗子的眼镜——目光短浅
4784 藤长根短——头重脚轻
4785 黔虎吃驴——绕了个大圈子
4786 红枣炖红糖——甜上加甜
4787 站在海边看鱼跳——干瞪眼
4788 绑着腿的青蛙——跳不了啦
4789 水缸里的葫芦瓢——沉不下去
4790 傻子过年——看隔壁
4791 木鱼儿命——天生是挨打的
4792 黄瓜打牛——亏了半截
4793 一脚踩死个麒麟——不知贵贱
4794 下巴底下支小锅——吵嘴哩
4795 山头上搭戏台——高高在上
4796 跳蚤放屁——小气
4797 猫儿闻见腥——哪能不伸头
4798 人才市场填个表——自我推销
4799 大师傅熬粥——难不住
4800 胡子上贴膏药——毛病
4801 阴沟里的泥鳅——翻不了大浪
4802 金子当作黄铜卖——屈才
4803 火车站的大钟——群众观点
4804 阎王桌上抓供果——自己找死
4805 满口金牙——开口就是谎
4806 画上的春牛——中看不中用
4807 三过家门而不入——公而忘私
4808 借债还债——窟窿还在
4809 吊死鬼扮新娘——人不像人，鬼不像鬼
4810 干柴遇烈火——一点就着
4811 挨打的狗去咬鸡——拿别人出气
4812 胸口烙饼——热心肠
4813 对着牛打喷嚏——吹牛
4814 凉水调藕粉——硬冲
4815 蚂蝗见血——叮住不放
4816 两只公鸡打架——谁也不让谁
4817 膝盖上挂掌——离了蹄
4818 关公走麦城——死到临头
4819 心头打锣鼓——想开了
4820 针尖上削铁——难得
4821 烧窑的盖砖房——方便
